WD_YM(출금연월),UTIZN_CO_APRVNO(이용업체승인번호),DPOST_BANKCD((비식별)입금은행코드),CALT_METH_NM(정산방법명),DPOST_AMT(입금금액)
﻿201808,35000411,FYT,실시간정산,57000
﻿201808,35000411,SHK,실시간정산,924000000
﻿201808,35000459,CVN,실시간정산,257000000
﻿201808,35000466,BVI,실시간정산,509000000
﻿201808,35000480,FYT,실시간정산,53700000
﻿201808,35000497,JVP,실시간정산,571000000
﻿201808,35100010,IEK,실시간정산,137000000
﻿201808,35100010,BVI,실시간정산,36900000
﻿201808,35100010,FYT,실시간정산,27400000
﻿201808,35100027,CVN,실시간정산,5690000
﻿201901,35000411,SHK,실시간정산,700000000
﻿201901,35000459,CVN,실시간정산,142000000
﻿201901,35000466,BVI,실시간정산,292000000
﻿201901,35000473,BVI,실시간정산,731000
﻿201901,35000480,FYT,실시간정산,218000000
﻿201901,35000497,JVP,실시간정산,414000000
﻿201901,35100010,IEK,실시간정산,200000000
﻿201901,35100010,BVI,실시간정산,35300000
﻿201901,35100010,FYT,실시간정산,35700000
﻿201901,35100027,CVN,실시간정산,12000000
﻿201909,35000411,SHK,실시간정산,712000000
﻿201909,35000459,CVN,실시간정산,222000000
﻿201909,35000466,BVI,실시간정산,438000000
﻿201909,35000480,FYT,실시간정산,169000000
﻿201909,35000497,JVP,실시간정산,191000000
﻿201909,35100010,IEK,실시간정산,92200000
﻿201909,35100010,BVI,실시간정산,32100000
﻿201909,35100010,FYT,실시간정산,31600000
﻿201909,35100027,IEK,실시간정산,181000
﻿201909,35100027,KYG,실시간정산,353000
﻿201909,35100027,CVN,실시간정산,14200000
﻿202002,35000411,SHK,실시간정산,1500000000
﻿202002,35000459,CVN,실시간정산,495000000
﻿202002,35000466,BVI,실시간정산,284000000
﻿202002,35000480,FYT,실시간정산,19500000
﻿202002,35000497,JVP,실시간정산,15000000
﻿202002,35100010,IEK,실시간정산,103000000
﻿202002,35100010,BVI,실시간정산,33300000
﻿202002,35100010,XIE,실시간정산,189000
﻿202002,35100010,FYT,실시간정산,33500000
﻿202002,35100027,IEK,실시간정산,20000
﻿202002,35100027,KYG,실시간정산,709000
﻿202002,35100027,CVN,실시간정산,10300000
﻿202107,35000411,SHK,실시간정산,703000000
﻿202107,35000459,CVN,실시간정산,162000000
﻿202107,35000466,BVI,실시간정산,294000000
﻿202107,35000497,JVP,실시간정산,254000000
﻿202107,35100010,BVI,실시간정산,32700000
﻿202107,35100010,FYT,실시간정산,18600000
﻿202107,35100027,KYG,실시간정산,430000
﻿202107,35100027,CVN,실시간정산,18200000
﻿202201,35000411,SHK,실시간정산,159000000
﻿202201,35000459,CVN,실시간정산,32700000
﻿202201,35000466,BVI,실시간정산,119000000
﻿202201,35000480,FYT,실시간정산,978000000
﻿202201,35000497,JVP,실시간정산,31300000
﻿202201,35100010,IEK,실시간정산,89900000
﻿202201,35100010,BVI,실시간정산,19200000
﻿202201,35100027,KYG,실시간정산,2730000
﻿202201,35100027,CVN,실시간정산,15200000
﻿202209,11000097,BVI,익일정산,80100000
﻿202209,11000699,VEA,익일정산,11500000
﻿202209,11000710,BVI,익일정산,1310000000
﻿202209,11000741,BVI,익일정산,2130000000
﻿202209,11001063,SHK,익일정산,19500000
﻿202209,11001184,SHK,익일정산,10800000000
﻿202209,11001298,BVI,익일정산,226000000
﻿202209,11900083,VEA,익일정산,3560000
﻿202209,11900104,SHK,익일정산,43200000
﻿202209,11900111,SHK,익일정산,12800000
﻿202209,12000018,JVP,익일정산,1380000000
﻿202209,12000018,BVI,익일정산,2280000
﻿202209,12000025,JVP,익일정산,380000000
﻿202209,12000032,IEK,익일정산,696000000
﻿202209,12000032,VEA,익일정산,479000000
﻿202209,12000032,HZI,익일정산,25700000
﻿202209,12000032,BVI,익일정산,69800000
﻿202209,12000032,QDF,익일정산,283000000
﻿202209,12000032,FYT,익일정산,116000000
﻿202209,12000032,ZVX,익일정산,141000000
﻿202209,12000032,FLX,익일정산,28900000
﻿202209,12000032,ZDD,익일정산,55500000
﻿202209,12000032,CVN,익일정산,8070000
﻿202209,12000032,SHK,익일정산,79600000
﻿202209,12000056,CVN,익일정산,39100000
﻿202209,12000063,IEK,익일정산,32400000
﻿202209,12000063,BVI,익일정산,194000000
﻿202209,12000063,SHK,익일정산,223000000
﻿202209,12000094,SHK,익일정산,416000000
﻿202209,12000115,SHK,익일정산,144000000
﻿202209,12000122,IEK,익일정산,309000000
﻿202209,12000153,IEK,익일정산,174000000
﻿202209,12000184,VEA,익일정산,342000000
﻿202209,12000205,VEA,익일정산,369000000
﻿202209,12000229,CVN,익일정산,305000000
﻿202209,12000236,ZVX,익일정산,534000000
﻿202209,12000250,VEA,익일정산,345000000
﻿202209,12000267,HZI,익일정산,484000000
﻿202209,12000274,VEA,익일정산,168000000
﻿202209,12000298,HZO,익일정산,145000000
﻿202209,12000302,SHK,익일정산,69900000
﻿202209,12000319,IEK,익일정산,185000000
﻿202209,12000326,VEA,익일정산,205000000
﻿202209,12000333,VEA,익일정산,278000000
﻿202209,12000340,SHK,익일정산,182000000
﻿202209,12000357,QDF,익일정산,94500000
﻿202209,12000364,VEA,익일정산,140000000
﻿202209,12000371,VEA,익일정산,83000000
﻿202209,12000388,RII,익일정산,76300000
﻿202209,12000395,JVP,익일정산,65900000
﻿202209,12000520,BVI,익일정산,42700000
﻿202209,12000551,VEA,익일정산,219000
﻿202209,12000568,FLX,익일정산,87000
﻿202209,12000575,VEA,익일정산,297000
﻿202209,12000582,RII,익일정산,249000
﻿202209,12000599,VEA,익일정산,324000
﻿202209,12000603,VEA,익일정산,12000
﻿202209,12000610,SHK,익일정산,300000
﻿202209,12000627,HZI,익일정산,2190000
﻿202209,12000634,IEK,익일정산,1340000
﻿202209,12000641,VEA,익일정산,63000
﻿202209,12000658,QDF,익일정산,141000
﻿202209,12000665,FYT,익일정산,150000
﻿202209,12000672,IEK,익일정산,583000
﻿202209,12000689,VEA,익일정산,114000
﻿202209,12000696,ZVX,익일정산,165000
﻿202209,12000700,BVI,익일정산,126000
﻿202209,12000717,CVN,익일정산,76800000
﻿202209,12000724,IEK,익일정산,23300000
﻿202209,12000731,CVN,익일정산,36900000
﻿202209,12000748,CVN,익일정산,48600000
